berita,label
"AJI Nilai PHK di TVRI dan RRI Akibat Pemangkasan Anggaran Makin Memperburuk Kondisi Pers
",3
Revisi UU TNI: TNI Aktif Duduki Jabatan di 16 Kementerian dan Lembaga,0
Kolaborasi tiga kementerian untuk kampus dan sekolah bersih dari sampah,0
Kementerian PANRB dan TBI Perkuat Kolaborasi Wujudkan Pemerintahan Digital,0
Sri Mulyani Temui 60 Ekonom Bahas Kondisi APBN,3
"Sri Mulyani Bacakan Realisasi APBN: Defisit Rp 31,3 Triliun dan Penerimaan Pajak 8,6 Persen dari Target",3
"Aliran Modal Asing Cabut Rp10,15 Triliun dari RI Selama Sepekan",3
"Dalam Sepekan, Aliran Keluar Modal Asing Rp10,15 Triliun",3
Perang dagang AS-Uni Eropa memanas setelah Trump berlakukan tarif impor baja,3
Anatomi dan Daftar Negara yang Terlibat Perang Dagang Dampak Kebijakan Tarif Impor AS,3
"Imbas Tarif Impor Trump, Hyundai Potong Gaji Bos-Tawarkan Pensiun",3
"Kuota Impor Daging Sapi Bakal Kembali ke Pelaku Usaha, Bapanas: Setelah Realisasi 50 Persen
",3
"Banjir Bandang Landa 2 Kecamatan, Parigi Moutong Tetapkan Darurat Bencana",4
Peninjauan Pasca Bencana di Kecamatan Panumbangan,4
Akibat Cuaca Ekstrem 5 Kecamatan di Ciamis Diterjang Bencana. Empat Desa di Panumbangan Terendam Banjir,4
Wabup-Kalaksa BPBD Tinjau Rumah Warga Terdampak Bencana Angin Puting Beliung,4
"Bencana Usai, Pos Tanggap Bencana BPBD Grobogan Ditarik ke Pos Induk",4
Angin Puting Beliung Rusak Rumah Warga di Cenrana Bone,4
"Gempa Bumi Bermagnitudo 3.2 Guncang Wilayah Cilacap, Jawa Tengah",4
"Gempa Megathrust M 5 Guncang Banten, Getaran Terasa hingga Jabar",4
"Gempa M5,2 di Selatan Banten Terasa ke Sukabumi, BMKG Ungkap Analisisnya",4
"Breaking News! Gempa M3,0 Guncang Sukabumi, Dirasakan hingga Semarang",4
"Gempa dari Laut Dirasakan Guncang Sukabumi hingga Tangerang, Ini Data BMKG",4
Kapolsek Cikaum beserta anggota Evakuasi Rumah Warga Terdampak Angin Puting Beliung,4
Pemkab Bangka Selatan Salurkan 384 Paket Bantuan untuk Korban Puting Beliung di Desa Sadai,4
"Saham Konglomerat Ini Jadi Biang Kerok IHSG Ambruk 1,58%",3
Asing Terciduk Borong Saham Ini Saat Net Sell Kembali Kencang,3
"Harga Saham Emiten Rp 9 Perak, 100% Dipegang Publik, Tapi Bisa Gaet GOTO",3
"Penerimaan Negara Rontok hingga Defisit Rp31,2 Triliun, Ini Potensi Bahayanya bagi Pemerintahan Prabowo",3
"Baru Awal Tahun, Setoran Pajak Anjlok 30 Persen dan APBN Alami Defisit",3
"19 Narapidana yang Kabur dari Lapas Kutacane Masih Buron
",2
"Napi Kabur dari Lapas Kutacane Aceh, Anggota DPR Desak Penangkapan Sebelum Lebaran demi Keamanan",2
"41 Napi Lapas Kutacane yang Kabur Sudah Kembali
",2
Media Asing Ramai-ramai Soroti 50 Napi Kabur dari Penjara Kutacane RI,2
"Rumah Ridwan Kamil Digeledah KPK, Bahlil: Kami Hormati Proses Hukum",2
"Cek Fakta Mengejutkan Ini! Usai Drama Adu Penalti, Real Madrid Lolos 8 Besar UCL Usai Tundukan Atletico Madrid",1
Kenapa Gol Adu Penalti Julian Alvarez di Atletico vs Madrid Dianulir?,1
"Stephen Curry Kembali Ukir Rekor, Jadi Raja Tembakan Tiga Angka NBA
",1
"5 Calon Kuat Juara NBA 2024-2025, Nomor 1 LA Lakers
",1
Final Piala Carabao: Statistik kunci yang harus diketahui menjelang Liverpool v Newcastle United,1
"Ramai-ramai Prajurit TNI Aktif Masuk Pemerintahan, PDI-P: Tabrak UU TNI",0
"Rencana RUU TNI Beri Tambahan 5 Jabatan Sipil yang Dapat Diisi Tentara, Termasuk MA dan Kejaksaan Agung",0
Mengapa Jabatan Sipil untuk Prajurit TNI Diperluas Menjadi 15 Instansi? ,0
SBY: TNI Aktif Harus Mundur Jika Masuk Pemerintahan atau Politik,0
"'Pemerintah gadaikan keselamatan masyarakat' – Prabowo perluas peran TNI di ranah sipil, tanda kembalinya 'dwifungsi ABRI' ala Orde Baru?",0
